Actinomycetaceae,Aerococcus,Aeromonas,Akkermansia,Alcaligenes faecalis et rel.,Allistipes et rel.,Anaerobiospirillum,Anaerofustis,Anaerostipes caccae et rel.,Anaerotruncus colihominis et rel.,Anaerovorax odorimutans et rel.,Aneurinibacillus,Aquabacterium,Asteroleplasma et rel.,Atopobium,Bacillus,Bacteroides fragilis et rel.,Bacteroides intestinalis et rel.,Bacteroides ovatus et rel.,Bacteroides plebeius et rel.,Bacteroides splachnicus et rel.,Bacteroides stercoris et rel.,Bacteroides uniformis et rel.,Bacteroides vulgatus et rel.,Bifidobacterium,Bilophila et rel.,Brachyspira,Bryantella formatexigens et rel.,Bulleidia moorei et rel.,Burkholderia,Butyrivibrio crossotus et rel.,Campylobacter,Catenibacterium mitsuokai et rel.,Clostridium (sensu stricto),Clostridium cellulosi et rel.,Clostridium colinum et rel.,Clostridium difficile et rel.,Clostridium felsineum et rel.,Clostridium leptum et rel.,Clostridium nexile et rel.,Clostridium orbiscindens et rel.,Clostridium ramosum et rel.,Clostridium sphenoides et rel.,Clostridium stercorarium et rel.,Clostridium symbiosum et rel.,Clostridium thermocellum et rel.,Collinsella,Coprobacillus catenaformis et rel.,Coprococcus eutactus et rel.,Corynebacterium,Desulfovibrio et rel.,Dialister,Dorea formicigenerans et rel.,Eggerthella lenta et rel.,Enterobacter aerogenes et rel.,Enterococcus,Escherichia coli et rel.,Eubacterium biforme et rel.,Eubacterium cylindroides et rel.,Eubacterium hallii et rel.,Eubacterium limosum et rel.,Eubacterium rectale et rel.,Eubacterium siraeum et rel.,Eubacterium ventriosum et rel.,Faecalibacterium prausnitzii et rel.,Fusobacteria,Gemella,Granulicatella,Haemophilus,Helicobacter,Klebisiella pneumoniae et rel.,Lachnobacillus bovis et rel.,Lachnospira pectinoschiza et rel.,Lactobacillus catenaformis et rel.,Lactobacillus gasseri et rel.,Lactobacillus plantarum et rel.,Lactobacillus salivarius et rel.,Lactococcus,Leminorella,Megamonas hypermegale et rel.,Megasphaera elsdenii et rel.,Methylobacterium,Micrococcaceae,Mitsuokella multiacida et rel.,Moraxellaceae,Novosphingobium,Oceanospirillum,Oscillospira guillermondii et rel.,Outgrouping clostridium cluster XIVa,Oxalobacter formigenes et rel.,Papillibacter cinnamivorans et rel.,Parabacteroides distasonis et rel.,Peptococcus niger et rel.,Peptostreptococcus anaerobius et rel.,Peptostreptococcus micros et rel.,Phascolarctobacterium faecium et rel.,Prevotella melaninogenica et rel.,Prevotella oralis et rel.,Prevotella ruminicola et rel.,Prevotella tannerae et rel.,Propionibacterium,Proteus et rel.,Pseudomonas,Roseburia intestinalis et rel.,Ruminococcus bromii et rel.,Ruminococcus callidus et rel.,Ruminococcus gnavus et rel.,Ruminococcus lactaris et rel.,Ruminococcus obeum et rel.,Serratia,Sporobacter termitidis et rel.,Staphylococcus,Streptococcus bovis et rel.,Streptococcus intermedius et rel.,Streptococcus mitis et rel.,Subdoligranulum variable at rel.,Sutterella wadsworthia et rel.,Tannerella et rel.,Uncultured Bacteroidetes,Uncultured Chroococcales,Uncultured Clostridiales I,Uncultured Clostridiales II,Uncultured Mollicutes,Uncultured Selenomonadaceae,Veillonella,Vibrio,Weissella et rel.,Wissella et rel.,Xanthomonadaceae,Yersinia et rel.
2.09E-05,2.09E-06,2.09E-06,0.002751195,0.000168951,0.009450846,2.09E-06,2.09E-06,0.023210993,0.001351611,0.001182659,2.09E-06,2.09E-06,2.09E-06,3.75E-05,0.000110548,0.008823014,0.000269071,0.005126943,0.0022798,0.002528013,0.004084033,0.003733616,0.06717797,0.024397824,0.000143922,1.67E-05,0.013488991,0.000248212,2.09E-06,0.009379928,0.000456794,2.09E-05,0.001954412,0.005030995,0.000671634,0.004741066,2.09E-06,0.010623076,0.032620122,0.015228564,0.000287843,0.032069466,0.003260135,0.033884129,2.09E-06,0.000886473,0.000246127,0.047738138,9.80E-05,0.000246127,0.000335817,0.029668689,0.000404649,0.000723779,0.000529798,0.000855186,0.000759238,0.000383791,0.009847151,0.000168951,0.008795898,0.000206496,0.024840018,0.175867909,0.000544399,2.09E-06,2.09E-06,1.88E-05,0.000239869,0.000358761,0.00584655,0.029368331,1.88E-05,0.000790525,0.001241062,9.18E-05,9.39E-05,2.09E-06,9.39E-05,0.002432065,2.09E-06,2.09E-06,0.000100119,1.88E-05,2.09E-06,0.000221097,0.010750311,0.061519144,0.000298272,0.014244058,0.002292315,0.000198153,2.09E-06,0.000237783,0.001382898,0.002350718,0.000734208,8.97E-05,0.002546785,0.000112634,0.000475567,1.67E-05,0.007394228,0.000371276,0.018780714,0.022946094,0.000498511,0.16192421,2.09E-06,0.004403164,2.71E-05,0.002440408,0.000488082,0.003664784,0.005300066,0.001015794,0.00235489,2.09E-06,2.09E-06,0.002173423,0.002014901,0.000957391,9.18E-05,0.000312873,0.000193981,0.000227354,2.09E-06,3.34E-05,0.00017938
1.56E-05,1.56E-06,1.56E-06,0.003588969,0.000132693,0.012484116,1.56E-06,4.06E-05,0.010612357,0.00472701,0.000997543,1.56E-06,1.56E-06,1.56E-06,2.34E-05,7.65E-05,0.0031503,0.000163915,0.004488162,0.002258912,0.00261172,0.001397184,0.00251181,0.029824813,0.012677692,6.87E-05,1.09E-05,0.007928826,0.000176404,1.56E-06,0.009711602,0.00034032,4.68E-05,0.004819115,0.024932326,0.000549507,0.00678454,1.56E-06,0.01085745,0.016664741,0.020581541,0.000237287,0.019243678,0.001461189,0.016126162,1.56E-06,0.000526091,0.000508919,0.04493626,7.18E-05,0.000259143,0.00684074,0.020553441,0.00027007,0.000618196,0.000299731,0.00072435,0.000749328,0.000179526,0.003712296,7.81E-05,0.003518719,0.000438669,0.007782083,0.110382251,0.000402764,1.56E-06,1.56E-06,3.59E-05,0.000176404,0.00028412,0.016881734,0.014588478,1.25E-05,0.000602585,0.000885144,6.56E-05,7.81E-05,1.56E-06,6.71E-05,0.000302853,1.56E-06,1.56E-06,6.56E-05,1.09E-05,1.56E-06,0.000121766,0.057264266,0.034642368,0.001653205,0.006183517,0.01065919,0.000291926,1.56E-06,0.000176404,0.000504235,0.171627322,0.037180716,0.000313781,0.00124888,7.34E-05,0.000343442,1.72E-05,0.002340089,0.005390478,0.005537221,0.004169698,0.015576655,0.041896799,1.56E-06,0.022926313,1.87E-05,0.007232576,0.000273192,0.002589865,0.043868468,0.00080865,0.002218323,7.81E-06,1.56E-06,0.029403316,0.016756846,0.006795468,1.56E-06,0.000216993,0.000163915,8.59E-05,1.56E-06,2.19E-05,0.000134255
3.33E-05,2.22E-06,2.22E-06,0.0666394,0.000195606,0.004765673,2.22E-06,2.22E-06,0.003758747,0.00538361,0.004899041,2.22E-06,2.22E-06,2.22E-06,4.45E-05,0.000117808,0.002058308,8.00E-05,0.001511501,0.001015817,0.001718221,0.000553476,0.000408994,0.057852691,0.016710974,0.000133368,2.22E-05,0.001760454,0.000313414,2.22E-06,0.037956451,0.000502352,0.003349752,0.007650861,0.053071458,0.000646833,0.04399134,2.22E-06,0.052740262,0.001822692,0.043966889,0.000266735,0.004161073,0.000869113,0.005499195,2.22E-06,0.001158076,0.000335642,0.003452001,0.000115585,0.000266735,0.000360093,0.006523904,0.000711294,0.00075575,0.000504575,0.003249727,0.002165003,0.000266735,0.000973584,0.000117808,0.001058051,0.0007313,0.001246988,0.00585262,0.000597932,2.22E-06,2.22E-06,2.22E-05,0.000268958,0.000395658,0.001480382,0.005572548,0.000117808,0.000860222,0.001420366,0.000131145,0.000266735,2.22E-06,0.000102249,0.000562367,2.22E-06,2.22E-06,0.000102249,2.22E-05,2.22E-06,0.000188938,0.279325337,0.002004961,0.005190227,0.002047194,0.003696508,0.000802429,2.22E-06,0.000268958,0.000835771,0.002127215,0.000649056,6.22E-05,0.001564848,0.000117808,0.000515688,2.45E-05,0.000462341,0.119177388,0.002185008,0.002654017,0.000428999,0.012345405,2.22E-06,0.050272959,3.78E-05,0.00124032,0.000297855,0.000889118,0.005403615,0.001533729,0.001491496,3.78E-05,2.22E-06,0.021958994,0.005159108,0.005874848,2.22E-06,0.000180046,0.000255621,0.000168932,2.22E-06,3.56E-05,0.000200052
1.75E-05,1.46E-06,1.46E-06,0.005582506,0.000160585,0.03169065,1.46E-06,1.46E-06,0.018680374,0.000776646,0.001581029,1.46E-06,0.000134307,1.46E-06,2.19E-05,8.61E-05,0.0035606,0.000741609,0.003697826,0.005274476,0.001940154,0.002265703,0.008712447,0.185594973,0.009858437,0.00010219,1.31E-05,0.009528509,0.000226278,2.19E-05,0.009386902,0.000327009,5.99E-05,0.001294896,0.003178116,0.007261346,0.001122633,1.46E-06,0.003262788,0.011128516,0.014890576,0.000293432,0.02917823,0.001350371,0.025048285,1.46E-06,0.000756208,0.000702193,0.08408504,7.15E-05,0.000179563,0.000513871,0.025149015,0.00031679,0.000617521,0.000297812,0.000797084,0.004899292,0.000185402,0.006348933,7.74E-05,0.003740162,0.000202921,0.004458414,0.070362352,0.000394162,1.46E-06,1.46E-06,1.46E-05,0.000172264,0.000261315,0.007464266,0.014294953,1.46E-05,0.000567886,0.000858398,6.72E-05,6.72E-05,1.46E-06,6.72E-05,0.001430663,1.46E-06,1.46E-06,7.45E-05,1.31E-05,1.46E-06,0.000121168,0.038716958,0.015454082,0.002014607,0.024224924,0.002706581,0.000156205,1.46E-06,0.000175183,0.000497812,0.001054019,0.000689054,7.30E-05,0.004256953,9.20E-05,0.000335768,1.46E-05,0.002005848,0.008858433,0.008300766,0.004570823,0.001094895,0.195758522,1.46E-06,0.004624838,2.04E-05,0.002957677,0.000267154,0.002935779,0.035260008,0.004569363,0.002683223,1.46E-05,1.46E-06,0.00240147,0.004116806,0.000750368,1.46E-06,0.000173723,0.00020876,7.74E-05,1.46E-06,3.07E-05,0.000131387
1.98E-05,1.32E-06,1.32E-06,0.002815109,0.000114822,0.004142817,1.32E-06,7.92E-06,0.019326987,0.001772476,0.002589426,1.32E-06,1.32E-06,1.32E-06,2.38E-05,7.92E-05,0.000704767,1.32E-06,0.000822228,0.000427612,0.000864462,0.000282435,0.000131979,0.004538754,0.011829267,8.97E-05,1.32E-05,0.005593265,0.000155735,1.32E-06,0.011441249,0.000308831,4.36E-05,0.001245881,0.012200127,0.002854703,0.002175012,1.32E-06,0.003988402,0.026476283,0.022829706,0.000265278,0.020838145,0.002453487,0.014328947,1.32E-06,0.000985882,0.000799792,0.16464365,6.99E-05,0.000167613,0.005506159,0.032295231,0.000291673,0.000658575,0.000277156,0.000599184,0.00118913,0.000167613,0.007232443,8.71E-05,0.003779875,0.000266597,0.010385418,0.081577464,0.00037218,1.32E-06,1.32E-06,5.94E-05,0.000162334,0.000282435,0.007539953,0.021000479,1.19E-05,0.000552991,0.00081035,6.73E-05,6.33E-05,1.32E-06,6.20E-05,0.000242841,1.32E-06,1.32E-06,6.60E-05,1.45E-05,1.32E-06,0.000112182,0.085608099,0.061160332,0.000273196,0.005449408,0.001117861,0.000149136,1.32E-06,0.000167613,0.000426292,0.004516317,0.000724564,3.04E-05,0.000240202,6.86E-05,0.00031015,2.24E-05,0.0017474,0.00343541,0.010766837,0.002672572,0.002515517,0.168562103,1.32E-06,0.021211645,2.24E-05,0.00312262,0.00056223,0.002024556,0.02711638,0.000603143,0.000757559,1.98E-05,1.32E-06,0.042750598,0.009945928,0.02105723,1.32E-06,0.000213806,0.000147816,0.000100304,1.32E-06,3.17E-05,0.00012406
2.80E-05,2.00E-06,2.00E-06,0.001729609,0.000178166,0.007152652,2.00E-06,2.00E-06,0.021029557,0.001943808,0.000708659,2.00E-06,2.00E-06,2.00E-06,2.80E-05,0.000120112,0.041496592,0.000402374,0.070151241,0.006478025,0.003785521,0.004410101,0.017218013,0.227191288,0.003577327,0.000128119,2.40E-05,0.00261243,0.000706657,2.00E-06,0.003369133,0.000502467,7.81E-05,0.001863733,0.016549391,0.000754702,0.002284124,2.00E-06,0.001925791,0.007973415,0.024446735,0.000976909,0.010725975,0.002230074,0.030128019,2.00E-06,0.000388361,0.001022951,0.152784089,0.000104097,0.000268249,0.000346322,0.033725365,0.000374348,0.000732681,0.000420391,0.000890828,0.000292272,0.001261173,0.00295675,0.000108101,0.008678071,0.000308287,0.001609497,0.037801155,0.000556518,2.00E-06,2.00E-06,2.40E-05,0.000256238,0.00037635,0.001545437,0.010661916,2.60E-05,0.000810754,0.001179097,0.000102095,0.000154143,2.00E-06,0.000120112,0.00034432,2.00E-06,2.00E-06,0.000136127,3.00E-05,2.00E-06,0.000180168,0.021143664,0.006918434,0.00022621,0.007524998,0.005451069,0.000224209,2.00E-06,0.000254236,0.004133844,0.001579469,0.001125046,0.00011811,0.005258891,0.00015014,0.000490456,2.60E-05,0.002368202,0.001897765,0.002306145,0.012926021,0.001199115,0.123228603,2.00E-06,0.004504189,3.20E-05,0.003216992,0.000342318,0.001221136,0.005220855,0.001203119,0.003583332,3.80E-05,2.00E-06,0.002280121,0.002027886,0.001060987,2.00E-06,0.000648603,0.000214199,0.000110102,2.00E-06,3.20E-05,0.000186173
4.28E-05,2.67E-06,2.67E-06,0.004534953,0.00023263,0.003465389,2.67E-06,2.67E-06,0.005484192,0.001187217,0.00083426,2.67E-06,2.67E-06,2.67E-06,6.42E-05,0.000157761,0.002925259,0.000299478,0.004994866,0.001582955,0.002363737,0.003577693,0.002280846,0.161937409,0.039814538,0.000149739,3.21E-05,0.00296002,0.000280761,2.67E-06,0.006652691,0.000620347,0.000302152,0.002422564,0.002272825,0.000780782,0.002882476,2.67E-06,0.001649803,0.00360978,0.02631396,0.002243411,0.010208993,0.004227454,0.016222619,2.67E-06,0.003863802,0.009452276,0.062368978,0.000139043,0.000344935,0.000903782,0.079313554,0.000679173,0.00114176,0.000566869,0.001291499,0.000336913,0.002149825,0.010163536,0.000149739,0.004762236,0.000256695,0.001286151,0.003401215,0.000729978,2.67E-06,2.67E-06,3.74E-05,0.000331565,0.000500021,0.001459956,0.002938628,6.95E-05,0.001045499,0.001582955,0.000131022,0.000259369,2.67E-06,0.000131022,0.00133963,2.67E-06,2.67E-06,0.000128348,3.21E-05,2.67E-06,0.000251348,0.010406862,0.002869107,0.000502695,0.003066976,0.003550954,0.000243326,2.67E-06,0.000323543,0.000628369,0.001679216,0.000770086,9.63E-05,0.00464191,0.00017113,0.000660456,3.48E-05,0.001668521,0.000275413,0.001350325,0.00179152,0.000401087,0.356763926,2.67E-06,0.003882519,4.55E-05,0.008318538,0.001005391,0.005240866,0.063139065,0.002599042,0.00296002,2.67E-06,2.67E-06,0.002847715,0.002558933,0.00125139,2.67E-06,0.00023263,0.000371674,0.000139043,2.67E-06,4.81E-05,0.000251348
2.37E-05,1.82E-06,1.82E-06,0.002397008,0.000140144,0.000984648,1.82E-06,5.46E-06,0.118547235,0.001228535,0.001592545,1.82E-06,1.82E-06,1.82E-06,1.46E-05,0.000123764,0.000678879,1.82E-06,0.000598797,0.00035673,0.000928226,0.000573316,3.09E-05,0.003245152,0.019014078,9.46E-05,1.09E-05,0.003010365,0.000205666,1.82E-06,0.00352908,0.000393131,8.01E-05,0.00246253,0.011588268,0.000662499,0.002054838,1.82E-06,0.017521636,0.010028484,0.067607633,0.000551476,0.007698818,0.00528725,0.014671435,1.82E-06,0.000444093,0.000667959,0.043228043,8.55E-05,0.000220226,0.000267548,0.09892708,0.000569676,0.001314077,0.00071528,0.004388144,0.000229326,0.001212154,0.182867855,0.000138324,0.003064967,0.000152884,0.001638046,0.007287486,0.000482314,1.82E-06,1.82E-06,2.91E-05,0.000212946,0.000837224,0.002058478,0.003378016,7.28E-06,0.00069526,0.001132072,8.74E-05,0.000183825,1.82E-06,7.46E-05,0.000269368,1.82E-06,1.82E-06,7.83E-05,1.27E-05,1.82E-06,0.000145604,0.002781039,0.003381656,0.000265728,0.003499959,0.000738941,0.000189285,1.82E-06,0.000216586,0.001212154,0.00106109,0.000298488,2.37E-05,0.000214766,9.65E-05,0.000429532,1.82E-05,0.001601645,0.000549656,0.001121152,0.009014715,0.014594993,0.257921319,0.000440452,0.006297378,4.19E-05,0.00742035,0.00072438,0.002850201,0.021665893,0.000615177,0.000611537,1.82E-06,1.82E-06,0.001823692,0.001705388,0.000862704,1.82E-06,0.000140144,0.000187465,0.000101923,1.82E-06,2.37E-05,0.000172905
4.11E-05,2.28E-06,9.13E-06,0.011267381,0.000198474,0.001284376,2.28E-06,0.000775645,0.005000627,0.002105647,0.007338968,2.28E-06,2.28E-06,2.28E-06,6.16E-05,0.00015741,0.000860053,2.28E-06,0.000677549,0.000419761,0.001213656,0.000387822,6.16E-05,0.00184786,0.003399149,0.000123191,3.19E-05,0.009716091,0.000396948,2.28E-06,0.013804195,0.000547514,6.62E-05,0.003410556,0.002504876,0.000725456,0.014201143,2.28E-06,0.006020372,0.002066865,0.094402811,0.005244727,0.006446977,0.03646671,0.008171646,2.28E-06,0.000479075,0.000399229,0.010336607,0.000123191,0.000294289,0.000378697,0.065544263,0.00080302,0.001713262,0.000490481,0.001250157,0.000351321,0.063817313,0.0007323,0.001975613,0.001042558,0.000346759,0.01482394,0.125385256,0.000636485,2.28E-06,2.28E-06,2.97E-05,0.000285164,0.000793895,0.001345972,0.002696506,2.97E-05,0.000980962,0.001418974,0.000127753,0.00043573,2.28E-06,0.000111784,0.00038326,2.28E-06,2.28E-06,0.000114065,3.65E-05,2.28E-06,0.000203036,0.003171018,0.005422669,0.000917086,0.000944462,0.000830396,0.000319383,2.28E-06,0.000292007,0.000634204,0.001450912,0.000385541,3.19E-05,0.000230412,0.000130035,0.000556639,3.65E-05,0.001282095,0.021327949,0.002810572,0.041243769,0.000949024,0.331695354,2.28E-06,0.002990795,4.11E-05,0.016436825,0.001042558,0.006515416,0.008381526,0.000777926,0.000736863,2.28E-06,2.28E-06,0.002482063,0.002342903,0.00113381,2.28E-06,0.000246381,0.000346759,0.000177942,2.28E-06,4.33E-05,0.000221287
2.53E-05,1.69E-06,1.69E-06,0.017941386,0.000148373,0.002456592,1.69E-06,1.69E-06,0.139300756,0.00109594,0.003335031,1.69E-06,1.69E-06,1.69E-06,3.88E-05,9.95E-05,0.00309561,0.000136571,0.002574617,0.001527572,0.001407862,0.000837973,0.001805772,0.099015677,0.034151186,8.77E-05,2.02E-05,0.002075542,0.000185467,1.69E-06,0.020610422,0.000397911,0.00015849,0.001804086,0.007209601,0.000738495,0.003368752,1.69E-06,0.005655052,0.013591346,0.007639547,0.001062219,0.002475139,0.001431467,0.008860256,1.69E-06,0.000691285,0.004103875,0.019716809,9.10E-05,0.000244479,0.000477156,0.011188707,0.000520993,0.001100998,0.000357445,0.000767158,0.000354073,0.000276514,0.020021986,0.000124769,0.003196774,0.001417978,0.003164738,0.276662541,0.000460295,1.69E-06,1.69E-06,1.85E-05,0.000210758,0.000374306,0.003503637,0.009782532,4.38E-05,0.000691285,0.001124603,0.000229304,0.000237735,1.69E-06,8.26E-05,0.000374306,1.69E-06,1.69E-06,8.09E-05,1.85E-05,1.69E-06,0.000155118,0.015596073,0.013967338,0.000834601,0.003953815,0.00163548,0.00026977,1.69E-06,0.000210758,0.000396225,0.001117859,0.000468725,6.07E-05,0.002090717,0.00011128,0.000408027,2.02E-05,0.001632108,0.001578154,0.01736138,0.001514084,0.000394539,0.085031479,1.69E-06,0.003242297,2.87E-05,0.002245835,0.000288317,0.001202162,0.061045561,0.000573261,0.001544433,1.69E-06,1.69E-06,0.028835032,0.002136241,0.001036928,1.69E-06,0.000155118,0.000224246,0.000193897,0.000106222,4.55E-05,0.000173664
