Akkermansia,Allistipes et rel.,Anaerostipes caccae et rel.,Anaerotruncus colihominis et rel.,Bacteroides fragilis et rel.,Bacteroides ovatus et rel.,Bacteroides splachnicus et rel.,Bacteroides uniformis et rel.,Bacteroides vulgatus et rel.,Bifidobacterium,Bryantella formatexigens et rel.,Butyrivibrio crossotus et rel.,Clostridium cellulosi et rel.,Clostridium leptum et rel.,Clostridium nexile et rel.,Clostridium orbiscindens et rel.,Clostridium sphenoides et rel.,Clostridium symbiosum et rel.,Coprococcus eutactus et rel.,Dorea formicigenerans et rel.,Eubacterium rectale et rel.,Faecalibacterium prausnitzii et rel.,Lachnobacillus bovis et rel.,Lachnospira pectinoschiza et rel.,Oscillospira guillermondii et rel.,Outgrouping clostridium cluster XIVa,Parabacteroides distasonis et rel.,Prevotella melaninogenica et rel.,Prevotella oralis et rel.,Prevotella tannerae et rel.,Ruminococcus bromii et rel.,Ruminococcus callidus et rel.,Ruminococcus obeum et rel.,Sporobacter termitidis et rel.,Subdoligranulum variable at rel.,Sutterella wadsworthia et rel.,Tannerella et rel.,Uncultured Clostridiales I,Uncultured Clostridiales II
0.002357257,0.042866925,0.031151339,0.001516966,0.056406507,0.054362339,0.005726498,0.039554242,0.353558205,0.005542684,0.00991785,0.027913394,0.011556012,0.005437648,0.003417719,0.010790459,0.005245755,0.028072968,0.006271878,0.005302313,0.024220964,0.040881335,0.00764341,0.006833419,0.109738682,0.004193372,0.0237786,0.003157148,0.002799621,0.008006997,0.009174516,0.002179503,0.011362098,0.011143946,0.005197276,0.009810793,0.006964714,0.002450173,0.003494477
0.004936543,0.003179304,0.006942744,0.005473141,0.001072391,0.000771864,0.000924141,0.000165169,0.002445309,0.001259314,0.005384514,0.012738972,0.046597032,0.022000529,0.002967404,0.038104922,0.006442402,0.012539963,0.018046943,0.013561594,0.000986986,0.038935602,0.002430806,0.007173175,0.238768499,0.010980927,0.001406758,0.260310582,0.037969564,0.000976512,0.020479361,0.003961642,0.045792941,0.06035119,0.04535061,0.000578495,0.001484911,0.006102395,0.01040485
0.002442389,0.00130107,0.000994834,0.007384839,0.002645393,0.001139013,0.001503497,0.001330482,0.016548267,0.006667405,0.004577966,0.010125389,0.018028118,0.004919958,0.003618888,0.018542548,0.004850175,0.007783926,0.017355092,0.015262769,0.002318972,0.053350773,0.001338556,0.004312677,0.106062546,0.00336398,0.000615355,0.482899816,0.066670012,0.000599207,0.003850728,0.004496072,0.022573788,0.025957953,0.01895836,0.00158366,0.000652842,0.043035068,0.010337621
0.022464517,0.00839088,0.00315647,0.005993684,0.002541555,0.004064268,0.002065447,0.000501093,0.041102127,0.043202276,0.004115626,0.01278412,0.027113162,0.01873061,0.003733907,0.060479578,0.005549502,0.009701218,0.028802443,0.011859666,0.001333935,0.03197557,0.002295867,0.004791616,0.374727418,0.00340077,0.001642086,0.009380574,0.000835618,0.001277024,0.005292709,0.003304994,0.04168234,0.0668994,0.084384912,0.000624631,0.001289517,0.034903009,0.013605858
0.001274936,0.00295697,0.001405207,0.00089849,0.00200005,0.001724181,0.001826674,0.000306521,0.010074006,0.001331451,0.003253912,0.010698542,0.044000138,0.001756749,0.004072898,0.016030093,0.005673513,0.009386249,0.012775222,0.011434193,0.003779788,0.083694613,0.001978976,0.004059488,0.023721855,0.008352698,0.002312318,0.571525728,0.090936173,0.000935847,0.001784527,0.002403317,0.027632872,0.008327794,0.018142214,0.0033497,0.00121459,0.001152328,0.001815179
0.000892992,0.000953681,0.001577041,0.001981055,0.000756009,0.000684916,0.00074127,0.000102304,0.004104295,0.001303074,0.002817693,0.014822797,0.015393272,0.001817195,0.005019828,0.012519225,0.004948735,0.014970184,0.007495063,0.018086986,0.012402183,0.072158075,0.003108999,0.003500875,0.010936983,0.005315469,0.000636365,0.615043358,0.079523957,0.000973621,0.001062053,0.003497407,0.020541413,0.004458023,0.050343065,0.000756009,0.000516721,0.002343453,0.001894356
0.002133328,0.003850144,0.00479641,0.002525111,0.001845674,0.001267762,0.001308112,0.000317591,0.002708637,0.009522533,0.006008203,0.007568826,0.207582362,0.012400379,0.011741767,0.055146346,0.01257219,0.017315234,0.027268598,0.039443799,0.002016184,0.031764337,0.003313883,0.005281908,0.18075631,0.014562342,0.002245266,0.051628111,0.00613576,0.001416145,0.001364081,0.002392348,0.054245636,0.058645057,0.128483905,0.001064712,0.001764975,0.011236745,0.014359292
0.001400767,0.002329139,0.002296303,0.001900028,0.026369797,0.000908223,0.000805236,0.007379215,0.004021702,0.002933626,0.002008239,0.013761399,0.04671413,0.0056971,0.004310512,0.011438977,0.004331408,0.010649413,0.012561382,0.007343393,0.008826997,0.049707458,0.003340348,0.003779161,0.052898551,0.002141077,0.000882849,0.557332945,0.085036344,0.000838818,0.008891177,0.003938118,0.020898819,0.012168838,0.01350244,0.000487321,0.000764191,0.003303781,0.002100778
0.003591691,0.002656702,0.004323948,0.003724829,0.001552264,0.001310196,0.002030349,0.000178526,0.002553822,0.028787993,0.00790051,0.010989909,0.093801534,0.006106177,0.006336142,0.085277698,0.010493668,0.029132941,0.027946805,0.019317064,0.005243808,0.078996021,0.003836785,0.007685674,0.174948939,0.008917197,0.001945625,0.164146633,0.026315869,0.000650559,0.003140838,0.006690167,0.064747265,0.030352361,0.050674009,0.001204291,0.001534109,0.011244081,0.009712998
0.008220744,0.002020643,0.001900131,0.047193696,0.001677809,0.000699174,0.000915263,0.00073034,0.002262704,0.001310041,0.00315615,0.028267182,0.12447575,0.023283622,0.000784363,0.009762458,0.005503005,0.010983154,0.003406523,0.004602287,0.001358869,0.022495104,0.003300556,0.003728579,0.190912821,0.002623199,0.000956819,0.303454832,0.041771725,0.007261847,0.00363404,0.035717068,0.039286698,0.023150644,0.007785448,0.000673201,0.000827996,0.020681201,0.009224312
0.000996459,0.001037504,0.000560745,0.001364605,0.001800319,0.000652939,0.000775444,0.000675041,0.002908548,0.004869261,0.001782638,0.003006426,0.088334992,0.003531177,0.00107855,0.004686134,0.001829367,0.00265596,0.001144854,0.003267223,0.000586004,0.01489068,0.000933312,0.000878374,0.210800905,0.000978146,0.000938995,0.543452041,0.067064577,0.000440134,0.000887846,0.001205475,0.006440356,0.014934251,0.004094448,0.000548115,0.000620734,0.001365237,0.001982182
0.001521588,0.002195329,0.001201394,0.009316306,0.001703031,0.000969253,0.000917889,0.000472286,0.004892295,0.005169796,0.007453845,0.01937306,0.115515259,0.012783071,0.006368522,0.023003925,0.005367916,0.014294653,0.007264397,0.017769423,0.001157367,0.028898827,0.00344742,0.003586838,0.174653724,0.005671433,0.00102929,0.378115553,0.055224763,0.000861188,0.008098235,0.006373191,0.03001617,0.026804893,0.012723702,0.000825833,0.000833838,0.001085324,0.003039173
0.002070606,0.00139242,0.003485557,0.01472293,0.001212172,0.000684945,0.000913635,0.000404433,0.001489304,0.007670704,0.00332446,0.011009809,0.238809098,0.016917456,0.004658299,0.018376343,0.004087137,0.028884836,0.007367661,0.008059365,0.004043201,0.028851039,0.008031201,0.004923039,0.27610253,0.003637642,0.000784081,0.14520826,0.020482999,0.000396547,0.001043189,0.012927203,0.039581463,0.061969464,0.009310966,0.000527227,0.000805486,0.001350738,0.004482557
0.031302717,0.000872521,0.012811587,0.003621575,0.000448492,0.000435241,0.000665603,4.99E-05,0.001659421,0.028905322,0.005543975,0.043774877,0.111277031,0.062096803,0.011585369,0.038568291,0.006564295,0.012815665,0.024469327,0.017800044,0.008046358,0.049527809,0.004440073,0.005519512,0.229191746,0.004434976,0.000497419,0.00421073,0.000353697,0.000142702,0.071322491,0.003601189,0.106737066,0.058067508,0.030290552,0.000400585,0.000343504,0.005076116,0.002527865
0.000404715,0.001718265,0.000873333,0.000558259,0.001345501,0.001195508,0.001106754,0.000176619,0.005896773,0.002915548,0.002175345,0.007547585,0.020844612,0.001208821,0.008814983,0.0056243,0.003453393,0.012725456,0.005589686,0.008375654,0.004016977,0.054089843,0.001848732,0.002406991,0.025477537,0.00450157,0.000941673,0.677121516,0.097901161,0.000711802,0.000661212,0.001107642,0.010541236,0.006462132,0.015802534,0.000878658,0.000948773,0.000946111,0.001082791
0.001295428,0.003776892,0.00296509,0.00465548,0.002719823,0.000832528,0.001125007,0.001214823,0.003272538,0.001515363,0.004037129,0.006199629,0.068027806,0.007029855,0.00248607,0.030641185,0.003021513,0.015652222,0.004183368,0.003391142,0.001236702,0.214120969,0.004889232,0.013004943,0.210310684,0.001817053,0.001648936,0.232966276,0.028562743,0.000985677,0.002639218,0.009610347,0.017248189,0.055982055,0.014779392,0.000761136,0.001187188,0.002003595,0.018202775
0.002604449,0.002546709,0.001642981,0.012944384,0.004362037,0.002117154,0.004026092,0.00189844,0.072366418,0.002733928,0.014111443,0.016554043,0.016336204,0.002111905,0.01201791,0.013408933,0.006290222,0.013214714,0.01963004,0.019826008,0.006015516,0.069902821,0.002950018,0.008039935,0.13938746,0.007048723,0.001936933,0.376860383,0.05470918,0.002282502,0.001429516,0.012055529,0.018183902,0.023361305,0.022208244,0.002209889,0.001459261,0.003871242,0.005343626
